;Frame time
259;1700059117.852888
260;1700059117.8837957
261;1700059117.915676
262;1700059117.9475908
263;1700059117.9795082
264;1700059118.0104566
265;1700059118.041377
266;1700059118.0732996
267;1700059118.1052105
268;1700059118.1370938
269;1700059118.168037
270;1700059118.199953
271;1700059118.2318323
272;1700059118.2638092
273;1700059118.2948558
274;1700059118.3261006
275;1700059118.357075
276;1700059118.3875008
277;1700059118.418824
278;1700059118.4504128
279;1700059118.4818127
280;1700059118.5132134
281;1700059118.5437968
282;1700059118.574362
283;1700059118.6063843
284;1700059118.6374831
285;1700059118.6685276
286;1700059118.6994503
287;1700059118.7313921
288;1700059118.761341
289;1700059118.7930253
290;1700059118.8243759
291;1700059118.8554869
292;1700059118.8872147
293;1700059118.9185648
294;1700059118.9490767
295;1700059118.9794483
296;1700059119.0115736
297;1700059119.0431027
298;1700059119.0750942
299;1700059119.106482
300;1700059119.1383715
301;1700059119.170404
302;1700059119.2017577
303;1700059119.2334063
304;1700059119.2804594
305;1700059119.3117108
306;1700059119.3437617
307;1700059119.3745604
308;1700059119.4064736
309;1700059119.4373436
310;1700059119.468447
311;1700059119.4999788
312;1700059119.5313542
313;1700059119.5623982
314;1700059119.5936708
315;1700059119.6246235
316;1700059119.655482
317;1700059119.6872888
318;1700059119.7174385
319;1700059119.7494516
320;1700059119.7813468
321;1700059119.8135326
322;1700059119.8444464
323;1700059119.876494
324;1700059119.9083283
325;1700059119.9394581
326;1700059119.9717062
327;1700059120.0026762
328;1700059120.0337014
329;1700059120.0646589
330;1700059120.0955474
331;1700059120.1263523
332;1700059120.1584208
333;1700059120.1894722
334;1700059120.2215068
335;1700059120.2521517
336;1700059120.2833846
337;1700059120.314306
338;1700059120.3445013
339;1700059120.3763711
340;1700059120.4074721
341;1700059120.4385595
342;1700059120.4704103
343;1700059120.5020828
344;1700059120.533278
345;1700059120.5644958
346;1700059120.5945284
347;1700059120.6258903
348;1700059120.6577547
349;1700059120.6895163
350;1700059120.7211776
351;1700059120.753096
352;1700059120.7850418
353;1700059120.8159277
354;1700059120.8632827
355;1700059120.8941705
356;1700059120.9243567
357;1700059120.9556806
358;1700059120.9872665
359;1700059121.0182745
360;1700059121.049427
361;1700059121.0804753
362;1700059121.112158
363;1700059121.144106
364;1700059121.1750832
365;1700059121.2219572
366;1700059121.253873
367;1700059121.2857902
368;1700059121.317715
369;1700059121.3654618
370;1700059121.3961058
371;1700059121.4412467
372;1700059121.4724834
373;1700059121.5200653
374;1700059121.5509806
375;1700059121.5829265
376;1700059121.6137784
377;1700059121.6446993
378;1700059121.6926036
379;1700059121.7241704
380;1700059121.7550092
381;1700059121.7855325
382;1700059121.8164766
383;1700059121.8641474
384;1700059121.8947823
385;1700059121.9269884
386;1700059121.9574835
387;1700059121.9889457
388;1700059122.0203047
389;1700059122.067635
390;1700059122.0987122
391;1700059122.1460183
392;1700059122.1773632
393;1700059122.2085311
394;1700059122.2408383
395;1700059122.2717574
396;1700059122.2944283
397;1700059122.3186724
398;1700059122.349264
399;1700059122.3812447
400;1700059122.4133155
401;1700059122.4453013
402;1700059122.4773035
403;1700059122.5081508
404;1700059122.5393217
405;1700059122.5701542
406;1700059122.6004062
407;1700059122.6322503
408;1700059122.663689
409;1700059122.694261
410;1700059122.7258298
411;1700059122.7575827
412;1700059122.7883554
413;1700059122.8190837
414;1700059122.8507862
415;1700059122.8820202
416;1700059122.9134274
417;1700059122.945474
418;1700059122.9761746
419;1700059123.0222633
420;1700059123.0530035
421;1700059123.0843205
422;1700059123.1153803
423;1700059123.1464887
424;1700059123.177707
425;1700059123.2084918
426;1700059123.2395651
427;1700059123.270515
428;1700059123.3019676
429;1700059123.333402
430;1700059123.3643794
431;1700059123.396339
432;1700059123.426707
433;1700059123.4587028
434;1700059123.4894252
435;1700059123.5207632
436;1700059123.55125
437;1700059123.5833309
438;1700059123.6143982
439;1700059123.6443343
440;1700059123.6751554
441;1700059123.7062988
442;1700059123.7362077
443;1700059123.767247
444;1700059123.799192
445;1700059123.8316278
446;1700059123.8639157
447;1700059123.8944647
448;1700059123.925189
449;1700059123.956453
450;1700059123.9874783
451;1700059124.0195038
452;1700059124.051797
